corpus,study_id,set,multilab,social,z_orig,z_repli,n_orig,n_repli,se_orig,se_repli,pub_expanded
osc,OSC_112,train,0,0,0.8694385140857793,0.9738801092559981,141,51,0.08512565307587486,0.14433756729740646,NA
osc,OSC_113,train,0,1,0.8312603652764454,1.0045748445259537,126,177,0.09016696346674323,0.07580980435789034,NA
osc,OSC_114,train,0,1,0.6485508268295646,0.7800413305825453,32,32,0.18569533817705186,0.18569533817705186,NA
osc,OSC_115,train,0,0,0.5517077961138106,-0.48493591361284877,32,8,0.18569533817705186,0.44721359549995793,NA
osc,OSC_116,train,0,0,0.2960774021948262,0.3346884306856667,173,140,0.07669649888473704,0.0854357657716761,NA
osc,OSC_117,train,0,0,0.1315355097435253,0.12110779267805166,12,12,0.3333333333333333,0.3333333333333333,NA
osc,OSC_118,train,0,1,0.21703141237375173,-0.04895731447137539,115,166,0.0944911182523068,0.07832604499879574,NA
osc,OSC_120,train,0,1,0.40005965005605654,0.2554128118829953,31,43,0.1889822365046136,0.15811388300841897,NA
osc,OSC_121,train,0,1,1.2622359039857955,1.1849231441241876,12,24,0.3333333333333333,0.2182178902359924,NA
osc,OSC_122,train,0,0,0.9115806092509465,1.6084759465314626,8,17,0.44721359549995793,0.2672612419124244,NA
osc,OSC_124,train,0,1,0.40504855976784254,-0.034292995642847136,36,70,0.17407765595569785,0.12216944435630522,NA
osc,OSC_127,train,0,0,0.83912881221931,0.5864088055269303,32,26,0.18569533817705186,0.20851441405707477,NA
osc,OSC_129,train,0,1,0.39048139819882355,0.017676748906140516,28,66,0.2,0.1259881576697424,NA
osc,OSC_132,train,0,1,0.25215893639534687,0.18136049487875353,25,30,0.21320071635561041,0.19245008972987526,NA
osc,OSC_133,train,0,0,0.47926232435272464,0.4517833360200725,24,38,0.2182178902359924,0.1690308509457033,NA
osc,OSC_134,train,0,1,0.21313844586110564,0.5495461237969438,119,238,0.09284766908852593,0.06523280730534423,NA
osc,OSC_135,train,0,1,0.004640053299975426,0.1062894913842196,684,3597,0.03832008326196737,0.01668057294081454,NA
osc,OSC_136,train,0,1,0.5468414178502724,0.1027148698129655,30,58,0.19245008972987526,0.13483997249264842,NA
osc,OSC_139,train,0,0,0.5444692830700385,0.5561982792421923,4,5,1,0.7071067811865475,NA
osc,OSC_140,train,0,1,0.23818050739145447,0.04429522835391771,84,125,0.1111111111111111,0.09053574604251853,NA
osc,OSC_142,train,0,1,0.6829066562904198,0.7087840592529913,82,88,0.1125087900926024,0.10846522890932808,NA
osc,OSC_143,train,0,1,0.17471653681126317,0.06178565771115443,57,78,0.13608276348795434,0.11547005383792514,NA
osc,OSC_145,train,0,1,1.0170249244377694,0.7804807668039616,80,40,0.11396057645963795,0.1643989873053573,NA
osc,OSC_146,train,0,0,0.7752217767190855,0.5454237054092345,30,24,0.19245008972987526,0.2182178902359924,NA
osc,OSC_148,train,0,1,0.19094999279608543,-0.03018145596219748,208,263,0.06984302957695782,0.062017367294604234,NA
osc,OSC_149,train,0,1,0.19094999279608543,0.01828544868725862,208,318,0.06984302957695782,0.0563436169819011,NA
osc,OSC_150,train,0,0,0.9129316530026499,0.21057242409605348,14,19,0.30151134457776363,0.25,NA
osc,OSC_151,train,0,1,0.4236611254911875,0.0028398056338424693,43,126,0.15811388300841897,0.09016696346674323,NA
osc,OSC_153,train,0,0,1.2916283250436156,0.12065567193431827,8,8,0.44721359549995793,0.44721359549995793,NA
osc,OSC_154,train,0,1,0.4598966812126785,0.11044691579009715,70,16,0.12216944435630522,0.2773500981126146,NA
osc,OSC_155,train,0,1,0.3205454093019461,-0.03401311042792823,53,72,0.1414213562373095,0.1203858530857692,NA
osc,OSC_158,train,0,1,0.39398187713023325,0.43721894673966105,40,95,0.1643989873053573,0.10425720702853739,NA
osc,OSC_161,train,0,0,0.5274667978360332,0.1797487633453372,48,48,0.14907119849998599,0.14907119849998599,NA
osc,OSC_165,train,0,1,0.29179723767013216,-0.1772890123521954,56,51,0.13736056394868904,0.14433756729740646,NA
osc,OSC_167,train,0,0,0.6857920153284546,0.25983547457372463,18,22,0.2581988897471611,0.22941573387056174,NA
ml1,ML1_sunk_costs,train,1,0,0.11474801758198486,0.09983407889920759,NA,6334,NA,0.012567932607507567,NA
ml1,ML1_gain_loss_framing,train,1,0,0.5385819506774198,0.29567304756342244,NA,6271,NA,0.012630935170956915,NA
ml1,ML1_anchoring,train,1,0,0.4496898925159913,0.8455726970397275,NA,5627,NA,0.013334518676566624,NA
ml1,ML1_retro_gamblers_fallacy,train,1,0,0.33849859640169994,0.30045886999224586,NA,5942,NA,0.012976074710847597,NA
ml1,ML1_low_high_cat_scales,train,1,0,0.24746646154726348,0.24261291139707472,NA,5899,NA,0.013023306526765581,NA
ml1,ML1_norm_of_reciprocity,train,1,0,0.41774349944156297,0.13459326448877432,NA,6336,NA,0.012565947935942488,NA
ml1,ML1_allowed_forbidden,train,1,0,0.3195346320005721,0.8671605068296653,NA,6292,NA,0.012609829157517467,NA
ml1,ML1_quote_attribution,train,1,0,0.24746646154726348,0.15932507986531572,NA,6276,NA,0.01262590031797617,NA
ml1,ML1_flag_priming,train,1,0,0.24746646154726348,0.014999437556945498,NA,4894,NA,0.0142988519197758,NA
